Name,Age,Team,Pos,G,Tck,Solo,Asst,TFL,Sack,PBU,INT,INT TD,FF,FR,FRTD
Zaire Franklin,28,IND,LLB,17,173,93,80,11,3.5,6,2,0,5,0,0
Budda Baker,28,ARI,FS,17,164,95,69,10,2.0,5,0,0,1,0,0
Robert Spillane,29,LVR,MLB,17,158,91,67,10,2.0,7,2,0,0,0,0
Jamien Sherwood,24,NYJ,RILB,17,158,98,60,10,2.0,3,0,0,0,0,0
Roquan Smith,27,BAL,LILB,16,154,81,73,4,1.5,4,1,0,1,1,0
Kaden Elliss,29,ATL,RILB,17,151,85,66,8,5.0,3,1,0,1,1,0
Zack Baun,28,PHI,LLB,16,151,93,58,11,3.5,4,1,0,5,1,0
Daiyan Henley,25,LAC,LILB,17,147,84,63,7,1.0,8,1,0,0,0,0
Nick Cross,23,IND,SS,17,146,87,59,6,1.0,5,3,0,1,0,0
Jordyn Brooks,27,MIA,RILB,17,143,86,57,11,3.0,6,0,0,0,2,0
Germaine Pratt,28,CIN,MLB,17,143,80,63,5,0.0,6,2,0,2,2,0
E.J. Speed,29,IND,MLB,15,142,93,49,7,0.0,5,1,0,0,0,0
Ernest Jones,25,2TM,RILB,16,138,77,61,4,0.5,4,1,0,1,0,0
Eric Kendricks,32,DAL,MLB,15,138,71,67,4,3.0,3,2,0,3,1,0
Kyzir White,28,ARI,RILB,17,137,60,77,9,2.5,3,1,0,0,1,0
Demario Davis,35,NOR,MLB,16,136,69,67,5,2.0,7,1,0,0,0,0
Christian Rozeboom,27,LAR,RLB,17,135,69,66,5,1.0,4,1,0,0,0,0
Bobby Wagner,34,WAS,MLB,17,132,75,57,10,2.0,4,0,0,1,2,0
Jack Campbell,24,DET,MLB,17,131,69,62,5,1.5,5,0,0,1,0,0
Fred Warner,28,SFO,MLB,17,131,76,55,5,1.0,7,2,1,4,0,0
Kevin Byard,31,CHI,SS,17,130,80,50,5,2.0,7,1,0,1,2,0
T.J. Edwards,28,CHI,LLB,17,129,79,50,12,4.0,3,1,0,1,2,0
Patrick Queen,25,PIT,LILB,17,129,65,64,6,1.0,7,0,0,2,1,0
Nakobe Dean,24,PHI,MLB,15,128,80,48,9,3.0,4,1,0,1,2,0
Lavonte David,34,TAM,LILB,17,122,76,46,9,5.5,6,1,0,3,1,0
